-- run 1 events --
class               start      dur     rest
  1 (FalVisWord)   324.00     4.00     4.00
  0 (VisWord)      332.00     4.00     4.00
  3 (FalAudWord)   340.00     4.00     4.00
  1 (FalVisWord)   348.00     4.00     4.00
  2 (AudWord)      356.00     4.00     4.00
  0 (VisWord)      364.00     4.00     4.00
  0 (VisWord)      372.00     4.00     6.00
  0 (VisWord)      382.00     4.00     4.00
  2 (AudWord)      390.00     4.00     8.00
  0 (VisWord)      402.00     4.00    10.00
  2 (AudWord)      416.00     4.00     4.00
  3 (FalAudWord)   424.00     4.00     4.00
  0 (VisWord)      432.00     4.00     4.00
  1 (FalVisWord)   440.00     4.00     6.00
  2 (AudWord)      450.00     4.00     6.00
  2 (AudWord)      460.00     4.00    14.00
  1 (FalVisWord)   478.00     4.00     4.00
  3 (FalAudWord)   486.00     4.00     6.00
  3 (FalAudWord)   496.00     4.00     4.00
  2 (AudWord)      504.00     4.00     6.00
  3 (FalAudWord)   514.00     4.00     6.00
  1 (FalVisWord)   524.00     4.00    10.00
  0 (VisWord)      538.00     4.00     4.00
  0 (VisWord)      546.00     4.00     4.00
  3 (FalAudWord)   554.00     4.00     8.00
  1 (FalVisWord)   566.00     4.00     4.00
  0 (VisWord)      574.00     4.00     4.00
  3 (FalAudWord)   582.00     4.00     4.00
  1 (FalVisWord)   590.00     4.00     4.00
  0 (VisWord)      598.00     4.00     4.00
  2 (AudWord)      606.00     4.00     4.00
  3 (FalAudWord)   614.00     4.00     4.00
  1 (FalVisWord)   622.00     4.00     4.00
  1 (FalVisWord)   630.00     4.00     4.00
  1 (FalVisWord)   638.00     4.00     0.00

-- run 6 events --
class               start      dur     rest
-----               -----     ----     ----
  3 (FalAudWord)    12.00     4.00     4.00
  2 (AudWord)       20.00     4.00     4.00
  0 (VisWord)       28.00     4.00     4.00
  0 (VisWord)       36.00     4.00     4.00
  1 (FalVisWord)    44.00     4.00     4.00
  1 (FalVisWord)    52.00     4.00     4.00
  2 (AudWord)       60.00     4.00     4.00
  3 (FalAudWord)    68.00     4.00     4.00
  0 (VisWord)       76.00     4.00     4.00
  0 (VisWord)       84.00     4.00     4.00
  0 (VisWord)       92.00     4.00     8.00
  3 (FalAudWord)   104.00     4.00     4.00
  2 (AudWord)      112.00     4.00     4.00
  2 (AudWord)      120.00     4.00     6.00
  0 (VisWord)      130.00     4.00     4.00
  3 (FalAudWord)   138.00     4.00     6.00
  0 (VisWord)      148.00     4.00     4.00
  3 (FalAudWord)   156.00     4.00     4.00
  0 (VisWord)      164.00     4.00     4.00
  0 (VisWord)      172.00     4.00     4.00
  1 (FalVisWord)   180.00     4.00     4.00
  0 (VisWord)      188.00     4.00     4.00
  3 (FalAudWord)   196.00     4.00     6.00
  3 (FalAudWord)   206.00     4.00     6.00
  3 (FalAudWord)   216.00     4.00     6.00
  3 (FalAudWord)   226.00     4.00    10.00
  0 (VisWord)      240.00     4.00     6.00
  2 (AudWord)      250.00     4.00     4.00
  3 (FalAudWord)   258.00     4.00     4.00
  1 (FalVisWord)   266.00     4.00     4.00
  2 (AudWord)      274.00     4.00     4.00
  3 (FalAudWord)   282.00     4.00    10.00
  2 (AudWord)      296.00     4.00    10.00
  2 (AudWord)      310.00     4.00     4.00
  3 (FalAudWord)   318.00     4.00     6.00
  1 (FalVisWord)   328.00     4.00     8.00
  2 (AudWord)      340.00     4.00     4.00
  2 (AudWord)      348.00     4.00     6.00
  1 (FalVisWord)   358.00     4.00     6.00
  2 (AudWord)      368.00     4.00     4.00
  1 (FalVisWord)   376.00     4.00     6.00
  2 (AudWord)      386.00     4.00     8.00
  2 (AudWord)      398.00     4.00     4.00
  3 (FalAudWord)   406.00     4.00     6.00
  3 (FalAudWord)   416.00     4.00     4.00
  0 (VisWord)      424.00     4.00     4.00
  3 (FalAudWord)   432.00     4.00     4.00
  1 (FalVisWord)   440.00     4.00     4.00
  0 (VisWord)      448.00     4.00    10.00
  2 (AudWord)      462.00     4.00     4.00
  2 (AudWord)      470.00     4.00     4.00
  1 (FalVisWord)   478.00     4.00     4.00
  0 (VisWord)      486.00     4.00     6.00
  0 (VisWord)      496.00     4.00     6.00
  1 (FalVisWord)   506.00     4.00     8.00
  1 (FalVisWord)   518.00     4.00     4.00
  1 (FalVisWord)   526.00     4.00     8.00
  0 (VisWord)      538.00     4.00     8.00
  3 (FalAudWord)   550.00     4.00     6.00
  3 (FalAudWord)   560.00     4.00     6.00
  0 (VisWord)      570.00     4.00     4.00
  1 (FalVisWord)   578.00     4.00     4.00
  2 (AudWord)      586.00     4.00     4.00
  2 (AudWord)      594.00     4.00     4.00
  1 (FalVisWord)   602.00     4.00    12.00
  1 (FalVisWord)   618.00     4.00     8.00
  1 (FalVisWord)   630.00     4.00     4.00
  1 (FalVisWord)   638.00     4.00     0.00

-- run 7 events --
class               start      dur     rest
-----               -----     ----     ----
  1 (FalVisWord)    12.00     4.00     6.00
  3 (FalAudWord)    22.00     4.00     6.00
  3 (FalAudWord)    32.00     4.00     4.00
  3 (FalAudWord)    40.00     4.00     4.00
  0 (VisWord)       48.00     4.00     4.00
  3 (FalAudWord)    56.00     4.00     4.00
  1 (FalVisWord)    64.00     4.00     4.00
  1 (FalVisWord)    72.00     4.00     4.00
  3 (FalAudWord)    80.00     4.00     4.00
  0 (VisWord)       88.00     4.00     8.00
  3 (FalAudWord)   100.00     4.00     6.00
  3 (FalAudWord)   110.00     4.00     8.00
  2 (AudWord)      122.00     4.00     4.00
  2 (AudWord)      130.00     4.00     8.00
  3 (FalAudWord)   142.00     4.00     6.00
  1 (FalVisWord)   152.00     4.00     4.00
  2 (AudWord)      160.00     4.00     8.00
  1 (FalVisWord)   172.00     4.00     4.00
  2 (AudWord)      180.00     4.00     4.00
  1 (FalVisWord)   188.00     4.00     4.00
  3 (FalAudWord)   196.00     4.00     4.00
  1 (FalVisWord)   204.00     4.00     4.00
  0 (VisWord)      212.00     4.00     4.00
  2 (AudWord)      220.00     4.00    16.00
  0 (VisWord)      240.00     4.00     6.00
  3 (FalAudWord)   250.00     4.00     4.00
  0 (VisWord)      258.00     4.00     6.00
  2 (AudWord)      268.00     4.00     8.00
  3 (FalAudWord)   280.00     4.00     4.00
  0 (VisWord)      288.00     4.00     4.00
  3 (FalAudWord)   296.00     4.00     4.00
  1 (FalVisWord)   304.00     4.00     4.00
  0 (VisWord)      312.00     4.00     4.00
  3 (FalAudWord)   320.00     4.00     6.00
  1 (FalVisWord)   330.00     4.00     4.00
  1 (FalVisWord)   338.00     4.00     6.00
  1 (FalVisWord)   348.00     4.00     6.00
  1 (FalVisWord)   358.00     4.00     4.00
  0 (VisWord)      366.00     4.00     6.00
  2 (AudWord)      376.00     4.00     4.00
  2 (AudWord)      384.00     4.00     4.00
  3 (FalAudWord)   392.00     4.00     8.00
  2 (AudWord)      404.00     4.00     8.00
  3 (FalAudWord)   416.00     4.00     6.00
  2 (AudWord)      426.00     4.00     4.00
  2 (AudWord)      434.00     4.00     6.00
  2 (AudWord)      444.00     4.00     4.00
  1 (FalVisWord)   452.00     4.00     4.00
  2 (AudWord)      460.00     4.00     6.00
  0 (VisWord)      470.00     4.00     6.00
  2 (AudWord)      480.00     4.00     4.00
  0 (VisWord)      488.00     4.00     4.00
  0 (VisWord)      496.00     4.00     8.00
  0 (VisWord)      508.00     4.00     8.00
  1 (FalVisWord)   520.00     4.00     6.00
  3 (FalAudWord)   530.00     4.00     4.00
  2 (AudWord)      538.00     4.00     8.00
  1 (FalVisWord)   550.00     4.00     4.00
  0 (VisWord)      558.00     4.00     4.00
  1 (FalVisWord)   566.00     4.00     4.00
  3 (FalAudWord)   574.00     4.00     6.00
  2 (AudWord)      584.00     4.00     6.00
  0 (VisWord)      594.00     4.00     4.00
  0 (VisWord)      602.00     4.00     4.00
  2 (AudWord)      610.00     4.00     8.00
  0 (VisWord)      622.00     4.00     4.00
  1 (FalVisWord)   630.00     4.00     4.00
  0 (VisWord)      638.00     4.00     0.00

-- run 8 events --
class               start      dur     rest
-----               -----     ----     ----
  2 (AudWord)       12.00     4.00    10.00
  3 (FalAudWord)    26.00     4.00     8.00
  3 (FalAudWord)    38.00     4.00     6.00
  0 (VisWord)       48.00     4.00     4.00
  0 (VisWord)       56.00     4.00     4.00
  3 (FalAudWord)    64.00     4.00     4.00
  1 (FalVisWord)    72.00     4.00     4.00
  1 (FalVisWord)    80.00     4.00     4.00
  2 (AudWord)       88.00     4.00     4.00
  1 (FalVisWord)    96.00     4.00     4.00
  2 (AudWord)      104.00     4.00     6.00
  2 (AudWord)      114.00     4.00     4.00
  2 (AudWord)      122.00     4.00     4.00
  2 (AudWord)      130.00     4.00     4.00
  2 (AudWord)      138.00     4.00     4.00
  1 (FalVisWord)   146.00     4.00     4.00
  1 (FalVisWord)   154.00     4.00     6.00
  0 (VisWord)      164.00     4.00     4.00
  0 (VisWord)      172.00     4.00     4.00
  1 (FalVisWord)   180.00     4.00     4.00
  3 (FalAudWord)   188.00     4.00     6.00
  3 (FalAudWord)   198.00     4.00     8.00
  0 (VisWord)      210.00     4.00     4.00
  3 (FalAudWord)   218.00     4.00     4.00
  0 (VisWord)      226.00     4.00     6.00
  2 (AudWord)      236.00     4.00     4.00
  2 (AudWord)      244.00     4.00     6.00
  1 (FalVisWord)   254.00     4.00     6.00
  3 (FalAudWord)   264.00     4.00     6.00
  3 (FalAudWord)   274.00     4.00     4.00
  2 (AudWord)      282.00     4.00     4.00
  3 (FalAudWord)   290.00     4.00     6.00
  2 (AudWord)      300.00     4.00     4.00
  0 (VisWord)      308.00     4.00     4.00
  3 (FalAudWord)   316.00     4.00     8.00
  0 (VisWord)      328.00     4.00     8.00
  0 (VisWord)      340.00     4.00     6.00
  0 (VisWord)      350.00     4.00     8.00
  3 (FalAudWord)   362.00     4.00     6.00
  3 (FalAudWord)   372.00     4.00     6.00
  0 (VisWord)      382.00     4.00     6.00
  3 (FalAudWord)   392.00     4.00     8.00
  1 (FalVisWord)   404.00     4.00     4.00
  0 (VisWord)      412.00     4.00     6.00
  0 (VisWord)      422.00     4.00     4.00
  1 (FalVisWord)   430.00     4.00     8.00
  3 (FalAudWord)   442.00     4.00     6.00
  1 (FalVisWord)   452.00     4.00     6.00
  2 (AudWord)      462.00     4.00     4.00
  2 (AudWord)      470.00     4.00     4.00
  1 (FalVisWord)   478.00     4.00     4.00
  3 (FalAudWord)   486.00     4.00     4.00
  1 (FalVisWord)   494.00     4.00     4.00
  0 (VisWord)      502.00     4.00     4.00
  2 (AudWord)      510.00     4.00     4.00
